"Genus"	"MeasID_3"	"MeasID_4"	"MeasID_5"	"MeasID_6"	"MeasID_7"	"MeasID_8"	"MeasID_9"	"MeasID_10"	"MeasID_11"	"MeasID_12"	"MeasID_13"	"MeasID_14"	"MeasID_15"	"MeasID_16"	"MeasID_17"	"MeasID_18"
"104"	"Alhagi"	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.78	NA	NA	NA	NA	NA	NA
"105"	"Alibertia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16.4786017343529	NA
"106"	"Alisma"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.653467	NA	NA	NA	NA	28.9375469294762	NA
"107"	"Alkanna"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.12	NA	NA	NA	NA	31.44654088	NA
"108"	"Allagoptera"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.130169671	NA	NA	NA	NA	NA	NA
"109"	"Allamanda"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64	NA	NA	NA	NA	NA	NA
"110"	"Allenrolfea"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.15	NA	NA	NA	NA	6.69667555266667	NA
"111"	"Alliaria"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.84	NA	NA	NA	NA	47.6961758690952	NA
"112"	"Allionia"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.889174244	NA
"113"	"Allium"	NA	NA	NA	NA	NA	NA	NA	NA	2.4118993135	3.85912510089286	NA	NA	NA	NA	19.0777264566533	NA
"114"	"Allocasuarina"	NA	NA	NA	NA	NA	NA	NA	NA	2.8767020846	1.1196	NA	NA	NA	NA	4.61942839061111	NA
"115"	"Allophylus"	NA	NA	NA	NA	NA	NA	NA	NA	1.47412744333333	1.8195945452	NA	NA	NA	NA	24.3133669593103	NA
"116"	"Alloteropsis"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.946875	NA	0.27625	NA	NA	NA	NA
"117"	"Alloxylon"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.646150271	NA
"118"	"Alnus"	17.732057551	28.925	NA	NA	NA	NA	NA	NA	1.52566897659459	2.82693861072174	2.387725	NA	NA	NA	17.6791669858477	21.3
"119"	"Alocasia"	NA	NA	NA	NA	NA	NA	NA	NA	1.97668525	3.9	NA	NA	NA	NA	33.2533495505	NA
"120"	"Aloe"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.915	NA	NA	NA	NA	3.6110710205	NA
