"obsID"	"traitcolnum"	"traitname"	"invCWM"	"natCWM"	"numspp"	"numinfospp"	"info"
"151"	"10"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"152"	"10"	"8"	"MeasID_10"	NA	NA	2	"0"	NA
"153"	"10"	"9"	"MeasID_11"	0.29292191514	0.0542447991	2	"1"	NA
"154"	"10"	"10"	"MeasID_12"	0.6543034567365	1.0267387512475	2	"2"	NA
"155"	"10"	"11"	"MeasID_13"	NA	NA	2	"0"	NA
"156"	"10"	"12"	"MeasID_14"	0.278794620000001	0.0516286333333335	2	"1"	NA
"157"	"10"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"158"	"10"	"14"	"MeasID_16"	NA	NA	2	"0"	NA
"159"	"10"	"15"	"MeasID_17"	7.66503923255183	1.41945170973182	2	"1"	NA
"160"	"10"	"16"	"MeasID_18"	NA	NA	2	"0"	NA
"161"	"11"	"1"	"MeasID_3"	22.3399435995	11.9901725681818	2	"2"	NA
"162"	"11"	"2"	"MeasID_4"	NA	NA	2	"0"	NA
"163"	"11"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"164"	"11"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"165"	"11"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
"166"	"11"	"6"	"MeasID_8"	NA	NA	2	"0"	NA
"167"	"11"	"7"	"MeasID_9"	NA	NA	2	"0"	NA
"168"	"11"	"8"	"MeasID_10"	15.07	0	2	"1"	NA
"169"	"11"	"9"	"MeasID_11"	1.084895982	1.1660935525	2	"2"	NA
"170"	"11"	"10"	"MeasID_12"	2.20193502495	0.7610177	2	"2"	NA
"171"	"11"	"11"	"MeasID_13"	NA	NA	2	"0"	NA
"172"	"11"	"12"	"MeasID_14"	1.03257266666667	0	2	"1"	NA
"173"	"11"	"13"	"MeasID_15"	NA	NA	2	"0"	NA
"174"	"11"	"14"	"MeasID_16"	0	0.3725	2	"1"	NA
"175"	"11"	"15"	"MeasID_17"	28.3890341946364	4.1097154806875	2	"2"	NA
"176"	"11"	"16"	"MeasID_18"	NA	NA	2	"0"	NA
"177"	"12"	"1"	"MeasID_3"	22.3399435995	3.20020684305	2	"2"	NA
"178"	"12"	"2"	"MeasID_4"	NA	NA	2	"0"	NA
"179"	"12"	"3"	"MeasID_5"	NA	NA	2	"0"	NA
"180"	"12"	"4"	"MeasID_6"	NA	NA	2	"0"	NA
"181"	"12"	"5"	"MeasID_7"	NA	NA	2	"0"	NA
