"obsID"	"articleID"	"author"	"year"	"location"	"ecosystemName"	"studyType"	"ecosystemID"	"multimeas"	"measurement"	"meanC"	"meanT"	"unit"
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"plantcov"	59	51.8	"%"
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"biom"	NA	NA	NA
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"litterbiom"	3.1	8.7	"g/m2"
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"percN"	NA	NA	NA
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"cn"	NA	NA	NA
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"litterpercN"	NA	NA	NA
8	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"S-dominated"	"littercn"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"nh"	9.5	12.2	"ug/g"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"no"	8.3	8.5	"ug/g"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"toti"	17.8	20.7	"ug/g"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"ammonif"	NA	NA	"ug/g*time?"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"nitrif"	NA	NA	"ug/g*time?"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"nminz"	8.5	4.5	"ug/g*time?"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"soilN"	352	378	"ug/g"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"SOM"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"soilcn"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"microbialcn"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"soilmoi"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"pH"	7.6	7.6	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"plantcov"	39.8	40.2	"%"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"biom"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"litterbiom"	2.4	5.5	"g/m2"
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"percN"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"cn"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"litterpercN"	NA	NA	NA
9	7	"Belnap and Phillips"	2001	"UT USA"	"semi-arid desert"	"fs"	"g"	"H-dominated"	"littercn"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"nh"	9.5	9.7	"ppm"
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"no"	8.3	7.7	"ppm"
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"toti"	17.8	17.4	"ppm"
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"ammonif"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"nitrif"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"nminz"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"soilN"	385	385	"ppm"
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"SOM"	0.9	0.7	"%"
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"soilcn"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"microbialcn"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"soilmoi"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"pH"	NA	NA	NA
10	8	"Belnap et al."	2005	"UT USA"	"semi-arid desert"	"fs"	"g"	NA	"plantcov"	50.6	30.8	"%"
