obsID	measAggNum	identifier1	identifier1unit	identifier2	identifier2unit	identifier3	identifier3unit	ma_InvMean	ma_InvVar	ma_InvN	ma_NatMean	ma_NatVar	ma_NatN	operation1	operation1order	operation2	operation2order	operation3	operation3order	notes
59.03	2	0-10cm						0.09	0.04	6	0.06	0.04	6	average						
59.03	2	10-20cm						0.11	0.04	6	0.06	0.03	6	average						
59.03	3	C	mg/kg					592	212	6	328	130	6	divide	"C,N"					
59.03	3	N	mg/kg					90	40	6	39	13	6	divide	"C,N"					
59.03	4	nh						7.3	6.4	6	4.1	5.5	6	add						
59.03	4	no						19.7	15.5	6	6.3	4.4	6	add						
62.01	1	nh						8.87	1.51	10	3.08	0.18	10	add						
62.01	1	no						0.62	0.03	10	0.5	0.01	10	add						
62.02	2	nh						7.27	2.91	10	3.66	0.52	10	add						
62.02	2	no						0.57	0.03	10	0.59	0.05	10	add						
62.03	3	nh						16.05	4.85	10	2.95	0.98	10	add						
62.03	3	no						0.88	0.14	10	0.84	0.29	10	add						
62.04	4	nh						10.71	4.92	10	2.07	0.57	10	add						
62.04	4	no						0.53	0.03	10	0.65	0.04	10	add						
62.05	5	nh						6.11	1.5	10	1.22	0.17	10	add						
62.05	5	no						0.98	0.09	10	0.69	0.12	10	add						
62.06	6	nh						4.85	0.93	10	1.48	0.25	10	add						
62.06	6	no						0.71	0.22	10	0.45	0.03	10	add						
62.07	7	nh						6.52	1.04	10	1.14	0.19	10	add						
62.07	7	no						0.49	0.05	10	0.46	0.04	10	add						
62.08	8	nh						5.11	0.51	10	3.08	0.18	10	add						
62.08	8	no						0.53	0.06	10	0.5	0.01	10	add						
62.09	9	nh						5.18	0.69	10	3.66	0.52	10	add						
62.09	9	no						0.72	0.03	10	0.59	0.05	10	add						
62.1	10	nh						11.71	1.62	10	2.95	0.98	10	add						
62.1	10	no						0.97	0.15	10	0.84	0.29	10	add						
62.11	11	nh						6.22	1.69	10	2.07	0.57	10	add						
62.11	11	no						0.66	0.1	10	0.65	0.04	10	add						
62.12	12	nh						5.35	1.96	10	1.48	0.25	10	add						
62.12	12	no						0.37	0.03	10	0.45	0.03	10	add						
62.13	13	nh						6.21	1.21	10	1.14	0.19	10	add						
62.13	13	no						0.3	0.04	10	0.46	0.04	10	add						
62.14	14	nh						5.88	0.97	10	1.03	0.11	10	add						
62.14	14	no						0.62	0.06	10	0.42	0.03	10	add						
62.15	15	nh						5.7	1.89	10	3.08	0.18	10	add						
62.15	15	no						0.76	0.09	10	0.5	0.01	10	add						
62.16	16	nh						5.03	0.5	10	3.66	0.52	10	add						
62.16	16	no						0.71	0.08	10	0.59	0.05	10	add						
62.17	17	nh						19.16	3.12	10	2.95	0.98	10	add						
62.17	17	no						1.17	0.37	10	0.84	0.29	10	add						
62.18	18	nh						1.68	0.34	10	2.07	0.57	10	add						
62.18	18	no						0.6	0.06	10	0.65	0.04	10	add						
62.19	19	nh						55.32	12.5	10	2.89	1.09	10	add						
62.19	19	no						5.89	1.61	10	0.56	0.07	10	add						
62.2	20	nh						15.58	3.88	10	1.22	0.17	10	add						
62.2	20	no						1.75	0.5	10	0.69	0.12	10	add						
62.21	21	nh						18.62	7.29	10	1.03	0.11	10	add						
62.21	21	no						1.34	0.87	10	0.42	0.03	10	add						
62.22	22	nh						9.76	1.82	10	2.37	0.57	10	add						
62.22	22	no						0.63	0.09	10	0.42	0.06	10	add						
62.23	23	nh						5.66	0.78	10	3.08	0.18	10	add						
62.23	23	no						0.58	0.06	10	0.5	0.01	10	add						
62.24	24	nh						6.18	0.88	10	3.66	0.52	10	add						
62.24	24	no						0.65	0.08	10	0.59	0.05	10	add						
62.25	25	nh						6.74	0.94	10	2.95	0.98	10	add						
62.25	25	no						0.51	0.05	10	0.84	0.29	10	add						
62.26	26	nh						2.37	0.35	10	2.07	0.57	10	add						
62.26	26	no						0.41	0.05	10	0.65	0.04	10	add						
62.27	27	nh						6.42	1.62	10	1.22	0.17	10	add						
62.27	27	no						0.73	0.05	10	0.69	0.12	10	add						
62.28	28	nh						5.18	1.06	10	1.48	0.25	10	add						
62.28	28	no						0.45	0.08	10	0.45	0.03	10	add						
62.29	29	nh						3.43	0.67	10	1.14	0.19	10	add						
62.29	29	no						0.37	0.05	10	0.46	0.04	10	add						
62.3	30	nh						2.44	0.33	10	1.03	0.11	10	add						
62.3	30	no						0.87	0.14	10	0.42	0.03	10	add						
62.31	31	nh						14.6	1.19	10	3.08	0.18	10	add						
62.31	31	no						0.97	0.19	10	0.5	0.01	10	add						
62.32	32	nh						6.27	1.35	10	3.66	0.52	10	add						
62.32	32	no						0.95	0.11	10	0.59	0.05	10	add						
62.33	33	nh						18.85	2.94	10	2.95	0.98	10	add						
62.33	33	no						2.31	0.59	10	0.84	0.29	10	add						
62.34	34	nh						6.27	0.75	10	2.07	0.57	10	add						
62.34	34	no						0.74	0.1	10	0.65	0.04	10	add						
62.35	35	nh						30.96	5.6	10	2.89	1.09	10	add						
62.35	35	no						2.23	0.37	10	0.56	0.07	10	add						
62.36	36	nh						48.51	15.8	10	1.22	0.17	10	add						
62.36	36	no						3.64	1.21	10	0.69	0.12	10	add						
62.37	37	nh						19.05	3.51	10	2.37	0.57	10	add						
62.37	37	no						1.57	0.36	10	0.42	0.06	10	add						
71.01	1	2000						0.0162	0.0033	10	0.082	0.017	10	average						
71.01	1	2001						0.102	0.025	10	0.067	0.019	10	average						
71.01	2	2000						0.0595	0.0069	10	0.135	0.018	10	average						
71.01	2	2001						0.118	0.021	10	0.119	0.044	10	average						
71.01	3	C	%					3.51	0.16	10	4.18	0.32	10	divide	"C,N"					
71.01	3	N	%					0.252	0.0079	10	0.289	0.011	10	divide	"C,N"					
71.02	1	2000						0.027	0.0096	10	0.0716	0.017	10	average						
71.02	1	2001						0.0406	0.028	10	0.142	0.059	10	average						
71.02	2	2000						0.104	0.024	10	0.173	0.026	10	average						
71.02	2	2001						0.249	0.066	10	0.256	0.057	10	average						
71.02	3	C	%					3.22	0.088	10	3.07	0.1	10	divide	"C,N"					
71.02	3	N	%					0.253	0.0063	10	0.253	0.015	10	divide	"C,N"					
77.01	1	Aug 98		0-5cm				1.098	0.292	3	0.768	0.659	3	average		average				
77.01	1	Aug 98		5-10cm				1.098	0.512	3	0.805	0.585	3	average		average				
77.01	1	Jan 98		0-5cm				7.877	0.405	3	7.84	0.405	3	average		average				
77.01	1	Jan 98		5-10cm				6.699	0.295	3	5.632	0.294	3	average		average				
77.01	1	Jul 99		0-5cm				0.805	2.817	3	0.402	0.842	3	average		average				
77.01	1	Jul 99		5-10cm				1.72	0.329	3	0.878	0.549	3	average		average				
77.01	1	Jun 98		0-5cm				0.883	0.479	3	0.847	0.515	3	average		average				
77.01	1	Jun 98		5-10cm				1.436	0.368	3	0.736	0.442	3	average		average				
77.01	1	Mar 98		0-5cm				1.537	0.365	3	6.329	1.573	3	average		average				
77.01	1	Mar 98		5-10cm				2.085	0.476	3	7.683	1.28	3	average		average				
77.01	1	May 98		0-5cm				9.122	0.976	3	8.317	1.146	3	average		average				
77.01	1	May 98		5-10cm				8.024	2.269	3	8.049	0.219	3	average		average				
77.01	1	May 99		0-5cm				1.509	0.773	3	0.773	0.294	3	average		average				
77.01	1	May 99		5-10cm				2.098	0.331	3	0.736	0.442	3	average		average				
77.01	1	Nov 98		0-5cm				7.805	1.341	3	9.561	0.585	3	average		average				
77.01	1	Nov 98		5-10cm				6.171	0.317	3	5.659	0.634	3	average		average				
77.01	1	Sep 99		0-5cm				0.659	0.195	3	0.634	0.244	3	average		average				
77.01	1	Sep 99		5-10cm				1.463	0.22	3	1	0.171	3	average		average				
77.01	2	Aug 98		0-5cm				4.52	0.64	3	9.002	0.904	3	average		average				
77.01	2	Aug 98		5-10cm				4.407	0.425	3	4.482	0.527	3	average		average				
77.01	2	Jan 98		0-5cm				5.393	0.749	3	4.345	0.486	3	average		average				
77.01	2	Jan 98		5-10cm				2.584	0.674	3	4.007	0.637	3	average		average				
77.01	2	Jul 99		0-5cm				3.804	0.603	3	3.202	0.79	3	average		average				
77.01	2	Jul 99		5-10cm				3.315	0.414	3	3.729	0.527	3	average		average				
77.01	2	Jun 98		0-5cm				5.468	0.824	3	4.981	1.573	3	average		average				
77.01	2	Jun 98		5-10cm				3.67	1.499	3	2.584	0.937	3	average		average				
77.01	2	Mar 98		0-5cm				8.776	0.527	3	5.838	0.603	3	average		average				
77.01	2	Mar 98		5-10cm				1.695	0.414	3	1.959	0.565	3	average		average				
77.01	2	May 98		0-5cm				3.59	0.384	3	2.308	0.726	3	average		average				
77.01	2	May 98		5-10cm				3.248	0.684	3	3.034	0.384	3	average		average				
77.01	2	May 99		0-5cm				5.094	0.374	3	6.33	0.524	3	average		average				
77.01	2	May 99		5-10cm				3.071	0.487	3	4.944	0.524	3	average		average				
77.01	2	Nov 98		0-5cm				17.735	1.539	3	17.863	1.453	3	average		average				
77.01	2	Nov 98		5-10cm				12.906	0.983	3	12.735	0.684	3	average		average				
77.01	2	Sep 99		0-5cm				15.128	1.368	3	20.641	0.812	3	average		average				
77.01	2	Sep 99		5-10cm				10.769	1.282	3	8.462	0.683	3	average		average				
77.01	3	Aug 98		0-5cm				0.933	0.578	3	2.089	0.8	3	average		average				
77.01	3	Aug 98		5-10cm				2.222	0.622	3	2.978	0.755	3	average		average				
